,0
0,0.6052658557891846
1,0.3687009811401367
2,0.634758710861206
3,0.5937900543212891
4,0.6045131683349609
5,0.6055071353912354
6,0.601172924041748
7,0.6106419563293457
8,0.5982739925384521
9,0.657081127166748
10,0.9902770519256592
11,1.2512309551239014
12,0.5758450031280518
13,1.6107492446899414
14,1.8992068767547607
15,0.6534390449523926
16,1.5644102096557617
17,0.5618200302124023
18,0.7161798477172852
19,0.7028462886810303
20,0.6921229362487793
21,0.8495450019836426
22,0.6232059001922607
23,0.3447232246398926
24,0.3298308849334717
25,0.7580180168151855
26,0.596113920211792
27,0.7916209697723389
28,0.3034970760345459
29,0.35506510734558105
30,1.5506038665771484
31,0.5448310375213623
32,0.635993242263794
33,0.7864270210266113
34,0.605787992477417
35,0.5982410907745361
36,0.5863029956817627
37,1.0504181385040283
38,0.5874648094177246
39,0.7047281265258789
40,1.2920269966125488
41,0.8171801567077637
42,0.704901933670044
43,0.5930359363555908
44,0.5867660045623779
45,0.7117629051208496
46,0.29276299476623535
47,0.6352887153625488
48,0.969174861907959
49,0.3291740417480469
50,0.6037969589233398
51,1.167511224746704
52,0.410442590713501
53,0.5463981628417969
54,0.3779001235961914
55,1.6939938068389893
56,0.516042947769165
57,0.5861737728118896
58,0.6058590412139893
59,0.5898971557617188
60,0.5882530212402344
61,0.7112979888916016
62,0.6096141338348389
63,0.6501080989837646
64,0.5894298553466797
65,0.6276750564575195
66,0.6523499488830566
67,0.5589749813079834
68,0.6145291328430176
69,0.6851150989532471
70,0.7963109016418457
71,0.6444389820098877
72,0.3442680835723877
73,0.6335968971252441
74,1.021939992904663
75,0.5830111503601074
76,1.4879796504974365
77,0.5555791854858398
78,0.28697919845581055
79,0.6416709423065186
80,0.3134770393371582
81,0.6441569328308105
82,0.49594688415527344
83,0.5977787971496582
84,0.7121012210845947
85,0.6021277904510498
86,1.899489164352417
87,0.3863098621368408
88,0.30939698219299316
89,1.6006619930267334
90,0.6015748977661133
91,0.587817907333374
92,0.5950827598571777
93,0.9482848644256592
94,0.5530819892883301
95,0.5770690441131592
