,Bagging,GLVQ,GP,KNORAE,KNORAU,LCA,MCB,MLP,OLA,Percep,SVM_RBF,SVM_lin,Median,Mean,Std-dev
Accuracy,0.3800,0.7900,0.5133,0.3233,0.4167,0.2900,0.4100,0.5500,0.3833,0.2333,0.6233,0.5500,0.4133,0.4553,0.1567
F1,0.3389,0.5235,0.4540,0.3067,0.3936,0.2873,0.3741,0.4440,0.3523,0.2048,0.5322,0.4043,0.3839,0.3846,0.0958
