Model,Accuracy,F1
Bagging,0.3900,0.3488
GLVQ,0.8067,0.5489
GP,0.5567,0.5077
KNORAE,0.3533,0.3142
KNORAU,0.3800,0.3503
LCA,0.2533,0.2546
MCB,0.4033,0.3452
MLP,0.5800,0.4331
OLA,0.3533,0.3369
Percep,0.1967,0.1622
SVM_RBF,0.6333,0.5175
SVM_lin,0.5800,0.4281
