Model,Accuracy,F1
Bagging,0.3700,0.3256
GLVQ,0.7967,0.5478
GP,0.5367,0.4860
KNORAE,0.3333,0.3033
KNORAU,0.4167,0.3900
LCA,0.2967,0.2948
MCB,0.3933,0.3323
MLP,0.5933,0.4832
OLA,0.3567,0.3423
Percep,0.2033,0.1707
SVM_RBF,0.6200,0.5038
SVM_lin,0.5467,0.3811
