Model,Accuracy,F1
Bagging,0.3500,0.2928
GLVQ,0.6900,0.2435
GP,0.4467,0.2548
KNORAE,0.2733,0.2211
KNORAU,0.3367,0.2765
LCA,0.2500,0.2458
MCB,0.3967,0.3131
MLP,0.5300,0.3055
OLA,0.3000,0.2289
Percep,0.2400,0.1631
SVM_RBF,0.5233,0.3603
SVM_lin,0.4867,0.2571
