Model,Accuracy,F1
Bagging,0.3267,0.2955
GLVQ,0.7733,0.4813
GP,0.4867,0.4189
KNORAE,0.2833,0.2629
KNORAU,0.3533,0.3246
LCA,0.2567,0.2516
MCB,0.3400,0.3036
MLP,0.5300,0.4005
OLA,0.3167,0.2805
Percep,0.2133,0.1957
SVM_RBF,0.5900,0.4750
SVM_lin,0.5100,0.3650
