Model,Accuracy,F1
Bagging,0.3767,0.3340
GLVQ,0.7967,0.5243
GP,0.5467,0.5044
KNORAE,0.3567,0.3273
KNORAU,0.3933,0.3637
LCA,0.2433,0.2452
MCB,0.3967,0.3392
MLP,0.5733,0.4407
OLA,0.4100,0.3920
Percep,0.2067,0.1728
SVM_RBF,0.6200,0.5079
SVM_lin,0.5567,0.4199
