Model,Accuracy,F1
Bagging,0.4067,0.3701
GLVQ,0.8067,0.5155
GP,0.5533,0.5000
KNORAE,0.3567,0.3182
KNORAU,0.4200,0.3989
LCA,0.2833,0.2821
MCB,0.4300,0.3794
MLP,0.5833,0.4280
OLA,0.3633,0.3398
Percep,0.2367,0.1917
SVM_RBF,0.6233,0.4919
SVM_lin,0.5533,0.3780
