Model,Accuracy,F1
Bagging,0.3800,0.3389
GLVQ,0.7900,0.5235
GP,0.5133,0.4540
KNORAE,0.3233,0.3067
KNORAU,0.4167,0.3936
LCA,0.2900,0.2873
MCB,0.4100,0.3741
MLP,0.5500,0.4440
OLA,0.3833,0.3523
Percep,0.2333,0.2048
SVM_RBF,0.6233,0.5322
SVM_lin,0.5500,0.4043
