,Dataset,Scaling technique,Model,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,recall_fold1,recall_fold2,recall_fold3,recall_fold4,recall_fold5,recall_mean,recall_stddev,precision_fold1,precision_fold2,precision_fold3,precision_fold4,precision_fold5,precision_mean,precision_stddev,f1_fold1,f1_fold2,f1_fold3,f1_fold4,f1_fold5,f1_mean,f1_stddev,gmean_fold1,gmean_fold2,gmean_fold3,gmean_fold4,gmean_fold5,gmean_mean,gmean_stddev
0,1.0,NOR,Bagging,0.4918032786885246,0.55,0.5166666666666667,0.5,0.43333333333333335,0.49836065573770494,0.03814700830846011,0.2,0.41379310344827586,0.43333333333333335,0.7,0.6,0.4694252873563218,0.17158205511725672,0.46153846153846156,0.5454545454545454,0.52,0.5,0.45,0.4953986013986015,0.03560769944229189,0.27906976744186046,0.47058823529411764,0.4727272727272728,0.5833333333333334,0.5142857142857143,0.46400086461645973,0.10108200487671935,0.39349550147037177,0.5294444797848387,0.5099019513592785,0.45825756949558394,0.39999999999999997,0.4582199004220146,0.05535843411487177
1,2.0,NOR,Bagging,0.5106382978723404,0.4782608695652174,0.45652173913043476,0.5434782608695652,0.5652173913043478,0.5108233117483811,0.04008508264353776,0.045454545454545456,0.23809523809523808,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.16580086580086578,0.07015925844603953,0.3333333333333333,0.38461538461538464,0.36363636363636365,0.5555555555555556,0.75,0.47742812742812746,0.15666869576506315,0.08,0.2941176470588235,0.24242424242424246,0.3225806451612903,0.23076923076923075,0.23397835308271744,0.08397388352622433,0.2044949432582181,0.4023739080814782,0.3588702812826367,0.43519413988924455,0.3614994027406106,0.35248653505043764,0.07918685891896844
2,3.0,NOR,Bagging,0.46875,0.421875,0.34375,0.515625,0.36507936507936506,0.423015873015873,0.06373237786219232,0.12121212121212122,0.696969696969697,0.28125,1.0,0.5,0.5198863636363636,0.30924150557373975,0.4444444444444444,0.46,0.32142857142857145,0.5079365079365079,0.4,0.42676190476190473,0.06295723952466775,0.19047619047619047,0.5542168674698795,0.30000000000000004,0.6736842105263158,0.4444444444444445,0.4325643425833661,0.17277687499404884,0.31884444339071355,0.29988593465273017,0.338020432074749,0.1767766952966369,0.33601075251612356,0.29390765158619064,0.06015954269370571
3,4.0,NOR,Bagging,0.5081967213114754,0.45,0.5166666666666667,0.48333333333333334,0.6333333333333333,0.5183060109289618,0.06200801463187639,0.5333333333333333,0.43333333333333335,0.6,0.4666666666666667,0.5,0.5066666666666666,0.0573488351136175,0.5,0.4482758620689655,0.5142857142857142,0.4827586206896552,0.6818181818181818,0.5254276757725034,0.08124253935174178,0.5161290322580646,0.44067796610169496,0.5538461538461538,0.47457627118644075,0.576923076923077,0.5124305000630862,0.04993915650558005,0.508000508000762,0.44969125210773475,0.5099019513592785,0.48304589153964794,0.6191391873668903,0.5139557580748628,0.056922401084963346
4,5.0,NOR,Bagging,0.5,0.4,0.38333333333333336,0.5166666666666667,0.45,0.45000000000000007,0.05270462766947299,0.41935483870967744,0.375,0.53125,0.9375,0.34375,0.5213709677419355,0.21755087944129664,0.52,0.42857142857142855,0.4358974358974359,0.5263157894736842,0.4782608695652174,0.4778091047015532,0.04077771680170554,0.46428571428571425,0.39999999999999997,0.47887323943661975,0.6741573033707865,0.4,0.483463251418624,0.10068296406557568,0.4958111521072805,0.4008918628686366,0.337400779065914,0.18298126367785,0.4432026302139591,0.37205753758672805,0.10785075604068503
5,6.0,NOR,Bagging,0.65,0.65,0.65,0.6833333333333333,0.65,0.6566666666666667,0.01333333333333333,1.0,1.0,1.0,0.9743589743589743,1.0,0.9948717948717949,0.010256410256410265,0.65,0.65,0.65,0.6785714285714286,0.65,0.6557142857142858,0.011428571428571432,0.787878787878788,0.787878787878788,0.787878787878788,0.8,0.787878787878788,0.7903030303030304,0.0048484848484848355,0.0,0.0,0.0,0.37308730773659293,0.0,0.07461746154731859,0.14923492309463718
6,7.0,NOR,Bagging,0.5555555555555556,0.5873015873015873,0.6349206349206349,0.5806451612903226,0.6290322580645161,0.5974910394265233,0.03013972940920593,0.8717948717948718,0.925,1.0,0.9230769230769231,1.0,0.9439743589743591,0.04956682842332563,0.5964912280701754,0.6166666666666667,0.6349206349206349,0.6101694915254238,0.6290322580645161,0.6174560558494834,0.013654751104304185,0.7083333333333334,0.74,0.7766990291262136,0.7346938775510206,0.7722772277227723,0.7464006935466679,0.025356366033420195,0.19059062496562185,0.0,0.0,0.0,0.0,0.03811812499312437,0.07623624998624874
7,8.0,NOR,Bagging,0.6825396825396826,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6784434203789041,0.0020481310803891705,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6825396825396826,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6784434203789041,0.0020481310803891705,0.8113207547169812,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8084179970972423,0.0014513788098693857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,NOR,Bagging,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6557377049180327,0.6666666666666666,0.6677595628415299,0.006372625021688861,1.0,1.0,1.0,1.0,0.975,0.9949999999999999,0.010000000000000009,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6557377049180327,0.6724137931034483,0.6689089881288863,0.006586551345903691,0.8039215686274509,0.8039215686274509,0.8039215686274509,0.7920792079207921,0.7959183673469388,0.7999524562300169,0.005010458496498664,0.0,0.0,0.0,0.0,0.22079402165819617,0.04415880433163923,0.08831760866327847
9,10.0,NOR,Bagging,0.6557377049180327,0.6557377049180327,0.6666666666666666,0.6333333333333333,0.6666666666666666,0.6556284153005464,0.01217193949055812,1.0,1.0,1.0,0.95,1.0,0.99,0.020000000000000018,0.6557377049180327,0.6557377049180327,0.6666666666666666,0.6551724137931034,0.6666666666666666,0.6599962313925004,0.0054502977018401145,0.7920792079207921,0.7920792079207921,0.8,0.7755102040816326,0.8,0.7919337239846435,0.008943198026073016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11.0,NOR,Bagging,0.639344262295082,0.5245901639344263,0.6557377049180327,0.639344262295082,0.65,0.6218032786885246,0.04901502273427498,1.0,0.6410256410256411,1.0,0.975,1.0,0.9232051282051282,0.141421588685107,0.639344262295082,0.625,0.6557377049180327,0.65,0.65,0.6440163934426228,0.010885295279366568,0.78,0.6329113924050633,0.7920792079207921,0.78,0.787878787878788,0.7545738776409288,0.061009183825974256,0.0,0.4516223023309455,0.0,0.0,0.0,0.09032446046618911,0.18064892093237822
11,12.0,NOR,Bagging,0.48412698412698413,0.528,0.496,0.576,0.568,0.5304253968253969,0.036941653382031155,0.7638888888888888,0.8472222222222222,0.7916666666666666,1.0,1.0,0.8805555555555555,0.10115078586685071,0.5339805825242718,0.5596330275229358,0.5428571428571428,0.576,0.568,0.5560941505808701,0.015586814986846864,0.6285714285714286,0.6740331491712707,0.6440677966101694,0.730964467005076,0.7244897959183673,0.6804253274552624,0.04134595223039997,0.2913357911583754,0.2827129723552591,0.27328654301153393,0.0,0.0,0.16946706130503367,0.13848702336478808
12,13.0,NOR,Bagging,0.5588235294117647,0.36764705882352944,0.5147058823529411,0.4925373134328358,0.5223880597014925,0.49122036874451275,0.06536861465471522,0.7297297297297297,0.4594594594594595,0.6486486486486487,0.8055555555555556,0.4444444444444444,0.6175675675675676,0.14412193272313625,0.574468085106383,0.425,0.5454545454545454,0.5178571428571429,0.5714285714285714,0.5268416689693286,0.05487285996545597,0.6428571428571429,0.44155844155844154,0.5925925925925926,0.6304347826086957,0.5,0.5614885919233745,0.07811013385212365,0.5088578934344531,0.34434021415790533,0.4797558228104045,0.32240138388311723,0.5219209075058752,0.43545524435835115,0.08474659302048528
13,14.0,NOR,Bagging,0.46938775510204084,0.5918367346938775,0.54421768707483,0.5374149659863946,0.4557823129251701,0.5197278911564626,0.05046867208433037,0.7162162162162162,0.2602739726027397,0.1232876712328767,0.2191780821917808,0.547945205479452,0.3733802295446131,0.22231826731546714,0.4818181818181818,0.76,0.75,0.5925925925925926,0.45977011494252873,0.6088361778706606,0.12758984465832812,0.576086956521739,0.38775510204081637,0.2117647058823529,0.32,0.5,0.39912135288898165,0.12882951496528133,0.39620562427220046,0.4890507923793212,0.34393243871305806,0.43196939296733755,0.44713080116517456,0.42165780989941837,0.04896133820922019
14,15.0,NOR,Bagging,0.48936170212765956,0.5159574468085106,0.5106382978723404,0.574468085106383,0.5080213903743316,0.519689384457845,0.02881827882852308,0.6063829787234043,0.5212765957446809,0.8526315789473684,0.2,0.6276595744680851,0.5615901455767077,0.21139976298569174,0.49137931034482757,0.5157894736842106,0.5094339622641509,0.8260869565217391,0.5086206896551724,0.5702620784940201,0.1281685176208251,0.5428571428571429,0.5185185185185186,0.6377952755905512,0.3220338983050848,0.5619047619047619,0.5166219194352119,0.10515693041116311,0.4751640730665382,0.5159300277864741,0.3708385395436481,0.4374903992802192,0.49291479645907466,0.4584675672271909,0.05076653888214767
15,16.0,NOR,Bagging,0.5,0.6710526315789473,0.5526315789473685,0.631578947368421,0.4868421052631579,0.568421052631579,0.07226068535655777,0.5384615384615384,0.5897435897435898,0.8421052631578947,0.4473684210526316,0.39473684210526316,0.5624831309041836,0.15549850172638013,0.5121951219512195,0.71875,0.5333333333333333,0.7083333333333334,0.4838709677419355,0.5912965512719643,0.10109304298427625,0.525,0.6478873239436619,0.653061224489796,0.5483870967741936,0.43478260869565216,0.5618236507806608,0.08174007500494168,0.4973944585550259,0.6680512302903471,0.47075115315785043,0.604117909644684,0.4780500559101303,0.5436729615116076,0.07859923817477049
16,17.0,NOR,Bagging,0.5038167938931297,0.5114503816793893,0.48854961832061067,0.5801526717557252,0.5038167938931297,0.517557251908397,0.03216993512321447,0.42424242424242425,0.5,0.6818181818181818,0.19696969696969696,0.25757575757575757,0.4121212121212121,0.17365513675023517,0.509090909090909,0.515625,0.4945054945054945,0.8666666666666667,0.5151515151515151,0.5802079170829171,0.14343251924557338,0.46280991735537186,0.5076923076923077,0.5732484076433121,0.32098765432098764,0.3434343434343434,0.44163452608926457,0.09626337316367202,0.4980147066288786,0.5114083119567588,0.44643106892408296,0.43693144875265144,0.4406500813258681,0.46668712351764796,0.0314802720874893
17,18.0,NOR,Bagging,0.5081967213114754,0.4918032786885246,0.5573770491803278,0.5081967213114754,0.4098360655737705,0.4950819672131148,0.047963078158451765,0.6774193548387096,0.0,0.26666666666666666,0.16666666666666666,0.26666666666666666,0.27548387096774196,0.22335629227457915,0.5121951219512195,0.0,0.6153846153846154,0.5,0.36363636363636365,0.39824322019443975,0.21460902152854078,0.5833333333333334,0.0,0.37209302325581395,0.25,0.30769230769230765,0.30262373285629096,0.1886795873999455,0.47519096331149147,0.0,0.47292273573861365,0.373878250552983,0.3824088899852943,0.3408801679176765,0.17577680539242108
