Unnamed: 0,Dataset,Scaling technique,Model,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,recall_fold1,recall_fold2,recall_fold3,recall_fold4,recall_fold5,recall_mean,recall_stddev,precision_fold1,precision_fold2,precision_fold3,precision_fold4,precision_fold5,precision_mean,precision_stddev,f1_fold1,f1_fold2,f1_fold3,f1_fold4,f1_fold5,f1_mean,f1_stddev,gmean_fold1,gmean_fold2,gmean_fold3,gmean_fold4,gmean_fold5,gmean_mean,gmean_stddev
0,1.0,NOR,Bagging,0.4918032786885246,0.55,0.5166666666666667,0.5,0.4333333333333333,0.4983606557377049,0.0381470083084601,0.2,0.4137931034482758,0.4333333333333333,0.7,0.6,0.4694252873563218,0.1715820551172567,0.4615384615384615,0.5454545454545454,0.52,0.5,0.45,0.4953986013986015,0.0356076994422918,0.2790697674418604,0.4705882352941176,0.4727272727272728,0.5833333333333334,0.5142857142857143,0.4640008646164597,0.1010820048767193,0.3934955014703717,0.5294444797848387,0.5099019513592785,0.4582575694955839,0.3999999999999999,0.4582199004220146,0.0553584341148717
1,2.0,NOR,Bagging,0.5106382978723404,0.4782608695652174,0.4565217391304347,0.5434782608695652,0.5652173913043478,0.5108233117483811,0.0400850826435377,0.0454545454545454,0.238095238095238,0.1818181818181818,0.2272727272727272,0.1363636363636363,0.1658008658008657,0.0701592584460395,0.3333333333333333,0.3846153846153846,0.3636363636363636,0.5555555555555556,0.75,0.4774281274281274,0.1566686957650631,0.08,0.2941176470588235,0.2424242424242424,0.3225806451612903,0.2307692307692307,0.2339783530827174,0.0839738835262243,0.2044949432582181,0.4023739080814782,0.3588702812826367,0.4351941398892445,0.3614994027406106,0.3524865350504376,0.0791868589189684
2,3.0,NOR,Bagging,0.46875,0.421875,0.34375,0.515625,0.365079365079365,0.423015873015873,0.0637323778621923,0.1212121212121212,0.696969696969697,0.28125,1.0,0.5,0.5198863636363636,0.3092415055737397,0.4444444444444444,0.46,0.3214285714285714,0.5079365079365079,0.4,0.4267619047619047,0.0629572395246677,0.1904761904761904,0.5542168674698795,0.3,0.6736842105263158,0.4444444444444445,0.4325643425833661,0.1727768749940488,0.3188444433907135,0.2998859346527301,0.338020432074749,0.1767766952966369,0.3360107525161235,0.2939076515861906,0.0601595426937057
3,4.0,NOR,Bagging,0.5081967213114754,0.45,0.5166666666666667,0.4833333333333333,0.6333333333333333,0.5183060109289618,0.0620080146318763,0.5333333333333333,0.4333333333333333,0.6,0.4666666666666667,0.5,0.5066666666666666,0.0573488351136175,0.5,0.4482758620689655,0.5142857142857142,0.4827586206896552,0.6818181818181818,0.5254276757725034,0.0812425393517417,0.5161290322580646,0.4406779661016949,0.5538461538461538,0.4745762711864407,0.576923076923077,0.5124305000630862,0.04993915650558,0.508000508000762,0.4496912521077347,0.5099019513592785,0.4830458915396479,0.6191391873668903,0.5139557580748628,0.0569224010849633
4,5.0,NOR,Bagging,0.5,0.4,0.3833333333333333,0.5166666666666667,0.45,0.45,0.0527046276694729,0.4193548387096774,0.375,0.53125,0.9375,0.34375,0.5213709677419355,0.2175508794412966,0.52,0.4285714285714285,0.4358974358974359,0.5263157894736842,0.4782608695652174,0.4778091047015532,0.0407777168017055,0.4642857142857142,0.3999999999999999,0.4788732394366197,0.6741573033707865,0.4,0.483463251418624,0.1006829640655756,0.4958111521072805,0.4008918628686366,0.337400779065914,0.18298126367785,0.4432026302139591,0.372057537586728,0.107850756040685
5,6.0,NOR,Bagging,0.65,0.65,0.65,0.6833333333333333,0.65,0.6566666666666667,0.0133333333333333,1.0,1.0,1.0,0.9743589743589745,1.0,0.9948717948717948,0.0102564102564102,0.65,0.65,0.65,0.6785714285714286,0.65,0.6557142857142858,0.0114285714285714,0.787878787878788,0.787878787878788,0.787878787878788,0.8,0.787878787878788,0.7903030303030304,0.0048484848484848,0.0,0.0,0.0,0.3730873077365929,0.0,0.0746174615473185,0.1492349230946371
6,7.0,NOR,Bagging,0.5555555555555556,0.5873015873015873,0.6349206349206349,0.5806451612903226,0.6290322580645161,0.5974910394265233,0.0301397294092059,0.8717948717948718,0.925,1.0,0.9230769230769232,1.0,0.9439743589743592,0.0495668284233256,0.5964912280701754,0.6166666666666667,0.6349206349206349,0.6101694915254238,0.6290322580645161,0.6174560558494834,0.0136547511043041,0.7083333333333334,0.74,0.7766990291262136,0.7346938775510206,0.7722772277227723,0.7464006935466679,0.0253563660334201,0.1905906249656218,0.0,0.0,0.0,0.0,0.0381181249931243,0.0762362499862487
7,8.0,NOR,Bagging,0.6825396825396826,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6784434203789041,0.0020481310803891,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6825396825396826,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6784434203789041,0.0020481310803891,0.8113207547169812,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.8084179970972423,0.0014513788098693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,NOR,Bagging,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6557377049180327,0.6666666666666666,0.6677595628415299,0.0063726250216888,1.0,1.0,1.0,1.0,0.975,0.995,0.01,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6557377049180327,0.6724137931034483,0.6689089881288863,0.0065865513459036,0.8039215686274509,0.8039215686274509,0.8039215686274509,0.7920792079207921,0.7959183673469388,0.7999524562300169,0.0050104584964986,0.0,0.0,0.0,0.0,0.2207940216581961,0.0441588043316392,0.0883176086632784
9,10.0,NOR,Bagging,0.6557377049180327,0.6557377049180327,0.6666666666666666,0.6333333333333333,0.6666666666666666,0.6556284153005464,0.0121719394905581,1.0,1.0,1.0,0.95,1.0,0.99,0.02,0.6557377049180327,0.6557377049180327,0.6666666666666666,0.6551724137931034,0.6666666666666666,0.6599962313925004,0.0054502977018401,0.7920792079207921,0.7920792079207921,0.8,0.7755102040816326,0.8,0.7919337239846435,0.008943198026073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11.0,NOR,Bagging,0.639344262295082,0.5245901639344263,0.6557377049180327,0.639344262295082,0.65,0.6218032786885246,0.0490150227342749,1.0,0.6410256410256411,1.0,0.975,1.0,0.9232051282051282,0.141421588685107,0.639344262295082,0.625,0.6557377049180327,0.65,0.65,0.6440163934426228,0.0108852952793665,0.78,0.6329113924050633,0.7920792079207921,0.78,0.787878787878788,0.7545738776409288,0.0610091838259742,0.0,0.4516223023309455,0.0,0.0,0.0,0.0903244604661891,0.1806489209323782
11,12.0,NOR,Bagging,0.4841269841269841,0.528,0.496,0.576,0.568,0.5304253968253969,0.0369416533820311,0.7638888888888888,0.8472222222222222,0.7916666666666666,1.0,1.0,0.8805555555555555,0.1011507858668507,0.5339805825242718,0.5596330275229358,0.5428571428571428,0.576,0.568,0.5560941505808701,0.0155868149868468,0.6285714285714286,0.6740331491712707,0.6440677966101694,0.730964467005076,0.7244897959183673,0.6804253274552624,0.0413459522303999,0.2913357911583754,0.2827129723552591,0.2732865430115339,0.0,0.0,0.1694670613050336,0.138487023364788
12,13.0,NOR,Bagging,0.5588235294117647,0.3676470588235294,0.5147058823529411,0.4925373134328358,0.5223880597014925,0.4912203687445127,0.0653686146547152,0.7297297297297297,0.4594594594594595,0.6486486486486487,0.8055555555555556,0.4444444444444444,0.6175675675675676,0.1441219327231362,0.574468085106383,0.425,0.5454545454545454,0.5178571428571429,0.5714285714285714,0.5268416689693286,0.0548728599654559,0.6428571428571429,0.4415584415584415,0.5925925925925926,0.6304347826086957,0.5,0.5614885919233745,0.0781101338521236,0.5088578934344531,0.3443402141579053,0.4797558228104045,0.3224013838831172,0.5219209075058752,0.4354552443583511,0.0847465930204852
13,14.0,NOR,Bagging,0.4693877551020408,0.5918367346938775,0.54421768707483,0.5374149659863946,0.4557823129251701,0.5197278911564626,0.0504686720843303,0.7162162162162162,0.2602739726027397,0.1232876712328767,0.2191780821917808,0.547945205479452,0.3733802295446131,0.2223182673154671,0.4818181818181818,0.76,0.75,0.5925925925925926,0.4597701149425287,0.6088361778706606,0.1275898446583281,0.576086956521739,0.3877551020408163,0.2117647058823529,0.32,0.5,0.3991213528889816,0.1288295149652813,0.3962056242722004,0.4890507923793212,0.343932438713058,0.4319693929673375,0.4471308011651745,0.4216578098994183,0.0489613382092201
14,15.0,NOR,Bagging,0.4893617021276595,0.5159574468085106,0.5106382978723404,0.574468085106383,0.5080213903743316,0.519689384457845,0.028818278828523,0.6063829787234043,0.5212765957446809,0.8526315789473684,0.2,0.6276595744680851,0.5615901455767077,0.2113997629856917,0.4913793103448275,0.5157894736842106,0.5094339622641509,0.8260869565217391,0.5086206896551724,0.5702620784940201,0.1281685176208251,0.5428571428571429,0.5185185185185186,0.6377952755905512,0.3220338983050848,0.5619047619047619,0.5166219194352119,0.1051569304111631,0.4751640730665382,0.5159300277864741,0.3708385395436481,0.4374903992802192,0.4929147964590746,0.4584675672271909,0.0507665388821476
