Dataset,Scaling technique,Model,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,f1_fold1,f1_fold2,f1_fold3,f1_fold4,f1_fold5,f1_mean,f1_stddev,gmean_fold1,gmean_fold2,gmean_fold3,gmean_fold4,gmean_fold5,gmean_mean,gmean_stddev
1.0,SS,GKELM,0.47540983606557374,0.5,0.5,0.43333333333333335,0.4666666666666667,0.4750819672131147,0.024721205181123633,0.42857142857142855,0.4444444444444445,0.5161290322580646,0.3928571428571428,0.5,0.4564004096262161,0.045658683038214305,0.4683533267840396,0.490170341098426,0.49888765156985887,0.42817441928883765,0.4618802153517006,0.46949319081857255,0.024730856971635264
1.0,MMS,GKELM,0.45901639344262296,0.5166666666666667,0.45,0.4666666666666667,0.45,0.46846994535519126,0.02489105528424074,0.3773584905660377,0.40816326530612246,0.44067796610169496,0.3846153846153846,0.47619047619047616,0.4174011165559432,0.03677405210681427,0.43994134506405985,0.4833144742079068,0.44969125210773475,0.4472135954999579,0.447213595499958,0.45347485247592345,0.015272728358476952
2.0,SS,GKELM,0.6170212765957447,0.6956521739130435,0.5869565217391305,0.6086956521739131,0.6956521739130435,0.640795559666975,0.04585359060028761,0.6249999999999999,0.6500000000000001,0.5365853658536586,0.5263157894736842,0.6818181818181818,0.6039438674291049,0.06195518239718458,0.6179143806533247,0.6859126697154605,0.5773502691896257,0.5838742081211423,0.6949493114282116,0.632000167821553,0.04973988612569676
2.0,MMS,GKELM,0.574468085106383,0.6956521739130435,0.6086956521739131,0.5869565217391305,0.6739130434782609,0.6279370952821461,0.04818235211464499,0.47368421052631576,0.5625,0.5263157894736842,0.3870967741935484,0.5454545454545455,0.4990102639296188,0.06340291438693244,0.5427204202399745,0.6279217421667403,0.5838742081211423,0.48850421045919723,0.6123724356957946,0.5710786033365698,0.050443567344880515
3.0,SS,GKELM,0.40625,0.375,0.28125,0.484375,0.31746031746031744,0.3728670634920635,0.07073412698412698,0.4242424242424243,0.411764705882353,0.2580645161290323,0.5217391304347827,0.2950819672131148,0.3821785487803414,0.0949862873096399,0.4052442151348903,0.3699356632130931,0.2795084971874737,0.4780330793993236,0.315908827190337,0.3697260564250235,0.06932170932107784
3.0,MMS,GKELM,0.484375,0.453125,0.328125,0.40625,0.31746031746031744,0.39786706349206347,0.0662367518497354,0.5479452054794521,0.49275362318840576,0.3384615384615385,0.525,0.39436619718309857,0.45970531286249894,0.08013877775657684,0.46373889576016825,0.44655737563729747,0.32775276505317236,0.3202172114362374,0.29099384762368896,0.3698520191021129,0.07092676485251655
4.0,SS,GKELM,0.5081967213114754,0.4,0.5166666666666667,0.5333333333333333,0.5666666666666667,0.5049726775956284,0.05617273709058692,0.4642857142857143,0.3793103448275862,0.5245901639344263,0.5333333333333333,0.5517241379310344,0.49064873886241883,0.0629212942707687,0.501610310127101,0.39860869143671324,0.5163977794943222,0.5333333333333333,0.565685424949238,0.5031271078681415,0.05644195224654018
4.0,MMS,GKELM,0.5901639344262295,0.4666666666666667,0.5666666666666667,0.55,0.6,0.5546994535519125,0.04738130334295114,0.576271186440678,0.4666666666666667,0.5357142857142857,0.5573770491803278,0.6,0.5472058376003915,0.045506231334028126,0.5893316790712928,0.4666666666666667,0.5627314338711378,0.5497474167490214,0.6,0.5536954392716237,0.047085660816588625
5.0,SS,GKELM,0.45,0.45,0.4,0.5166666666666667,0.4166666666666667,0.44666666666666666,0.04000000000000001,0.5217391304347826,0.5352112676056338,0.4375,0.6133333333333333,0.4444444444444444,0.5104456351636388,0.06481354933365038,0.4244999675729204,0.411877235523957,0.39528470752104744,0.4531634835874829,0.414578098794425,0.4198806985999665,0.019111343152331196
5.0,MMS,GKELM,0.43333333333333335,0.43333333333333335,0.4666666666666667,0.5666666666666667,0.4,0.4600000000000001,0.0573488351136175,0.5853658536585367,0.5952380952380952,0.6,0.7045454545454546,0.5135135135135135,0.59973258339112,0.06106740673842999,0.23106851475148005,0.16703827619526523,0.32732683535398854,0.3221717598690842,0.3256175451573298,0.27464458626542954,0.06497766710721684
6.0,SS,GKELM,0.6333333333333333,0.6666666666666666,0.65,0.6333333333333333,0.5666666666666667,0.6299999999999999,0.033993463423951896,0.7608695652173912,0.7826086956521738,0.7835051546391754,0.7659574468085106,0.6904761904761906,0.7566834105586884,0.034288347854452055,0.35805743701971643,0.4193139346887673,0.21540205755295466,0.29649972666444047,0.4207673668966939,0.3420081045645146,0.07814972481788497
6.0,MMS,GKELM,0.65,0.65,0.65,0.65,0.65,0.65,0.0,0.787878787878788,0.787878787878788,0.787878787878788,0.787878787878788,0.787878787878788,0.787878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,SS,GKELM,0.5555555555555556,0.5714285714285714,0.6190476190476191,0.6290322580645161,0.6290322580645161,0.6008192524321556,0.03110252436019344,0.7083333333333334,0.7216494845360825,0.7599999999999999,0.7628865979381444,0.7628865979381444,0.7431512027491409,0.023398553511287112,0.19059062496562185,0.19504737440137349,0.2032347111742651,0.28722328062327324,0.28722328062327324,0.23266385435756137,0.04473185141071472
