"name","V2"
"D1","2.09496378898621"
"D2","0.792666912078857"
"D3","2.13476300239563"
"D4","2.04717302322388"
"D5","2.09097695350647"
"D6","2.15750002861023"
"D7","1.93868207931519"
"D8","1.94021797180176"
"D9","1.93901610374451"
"D10","1.96896505355835"
"D11","1.98843312263489"
"D12","4.91553497314453"
"D13","2.14866995811462"
"D14","6.22779297828674"
"D15","9.11129117012024"
"D16","2.50784087181091"
"D17","5.17716693878174"
"D18","2.08764410018921"
"D19","2.59955406188965"
"D20","1.92758798599243"
"D21","2.08129811286926"
"D22","2.95500588417053"
"D23","2.01099610328674"
"D24","0.808583974838257"
"D25","0.80390214920044"
"D26","2.42243981361389"
"D27","1.86585903167725"
"D28","2.6432478427887"
"D29","0.799399137496948"
"D30","0.788552045822144"
"D31","4.8752121925354"
"D32","2.21717309951782"
"D33","1.96212100982666"
"D34","1.92942094802856"
"D35","1.92753100395203"
"D36","2.02882385253906"
"D37","1.98937511444092"
"D38","3.6859290599823"
"D39","2.26732206344604"
"D40","1.92595100402832"
"D41","3.1127450466156"
"D42","2.08383584022522"
"D43","2.90616798400879"
"D44","2.03914213180542"
"D45","2.08838891983032"
"D46","2.6455340385437"
"D47","0.77147388458252"
"D48","1.97419309616089"
"D49","3.17358994483948"
"D50","0.876380920410156"
"D51","2.01335000991821"
"D52","4.09086990356445"
"D53","0.77212405204773"
"D54","1.77214407920837"
"D55","1.25847387313843"
"D56","7.24815583229065"
"D57","2.02047991752625"
"D58","2.14720606803894"
"D59","1.95272994041443"
"D60","1.91580581665039"
"D61","2.1645839214325"
"D62","2.43900299072266"
"D63","1.93506002426147"
"D64","2.48594284057617"
"D65","1.96162605285645"
"D66","2.0636420249939"
"D67","2.56887102127075"
"D68","2.17641806602478"
"D69","1.84477400779724"
"D70","1.97549676895142"
"D71","1.91196894645691"
"D72","1.94500184059143"
"D73","0.781225919723511"
"D74","1.95999717712402"
"D75","3.7664520740509"
"D76","1.90532088279724"
"D77","4.57863807678223"
"D78","2.04989910125732"
"D79","0.900623083114624"
"D80","2.02578592300415"
"D81","0.85366702079773"
"D82","2.57627010345459"
"D83","3.05955195426941"
"D84","1.98772096633911"
"D85","2.7113618850708"
"D86","2.25390195846558"
"D87","8.90252208709717"
"D88","0.78758978843689"
"D89","0.86577582359314"
"D90","5.3912570476532"
"D91","2.75378584861755"
"D92","2.25546598434448"
"D93","1.86350297927856"
